char,pron
交響樂,gau1 hiong3 ngok6
梅花間竹,moi2 fa1 gan4 zuk5
山齊士,san1 ce2 su4
中樞,zung1 ki1
車尾燈,ca1 mui1 den1
節衣縮食,ziet5 yi1 suk5 sit6
草食,cau3 sit6
居士,gi1 su4
警務處,gin3 vu4 cu3
玩唔玩,van4 m1 van4
靜觀其變,cin4 gon1 ki2 bien4
清道夫,cin1 tau4 fu1
錯別字,co4 piet6 su4
較難,gau4 lan2
安享晚年,on1 hiong3 man1 ngien2
坐享其成,co4 hiong3 ki2 sin2
打圓場,da3 yen2 cong2
三間,sam1 gan1
不為過,but5 vui2 go4
最長,zui4 cong2
白話文,pak6 va4 vun2
樂理,ngok6 li1
沙塵暴,sa1 cin4 pau4
覺眼,gok5 ngan3
新冠肺炎,sin1 gon1 pui4 yam2
中美洲,zung1 mui1 ziu1
青出於藍,ciang1 cut5 yi1 lam2
易主,yit6 zu3
模稜兩可,mu2 lin2 liong1 ko3
邊打,bien1 da1
短打,don3 da3
推力,tui1 lit6
白痴仔,pak6 ci1 zai3
波仔,bo1 zai3
傳球,con2 kiu2
好想食,hau3 siong3 sit6
一技之長,yit5 ki3 zu1 cong2
兩把,liong1 ba3
賣豬仔,mai4 zu1 zai3
三更半夜,sam1 gang1 ban4 ya4
各散東西,gok5 san3 dung1 si1
產卵,san3 lon3
德行,det5 hang2
光頭仔,gong1 teu2 zai3
要聞,yau4 vun2
中工,zung1 gung1
必經之路,bit5 gin1 zu1 lu4
問咩,mun4 me1
食塵,sit6 cin4
震央,zin3 yong1
傍住,pong4 cu4
畫花,vak6 fa1
車轆,ca1 luk6
第二間,ti4 ngi4 gan1
瑰寶,gui4 bau3
後現代,heu4 hien4 toi4
嫌三嫌四,hiam2 sam1 hiam2 si4
平整,pin2 zin3
倒楣,dau3 mi2
白武士,pak6 vu1 su4
打爆機,da3 bau4 gi1
非常好,fui1 song2 hau3
降雨量,gong4 yi3 liong4
行山杖,hang2 san1 cong4
成村人,sang2 cun1 ngin2
講多錯多,gong3 do1 co4 do1
明瞭,min2 liau2
畫筆,fa4 bit5
指名道姓,zi3 min2 tau4 siang4
重施故技,cung2 si1 gu4 ki3
強顏歡笑,kiong3 ngan2 fon1 siau4
連中三元,lien2 zung4 sam1 ngien2
兩成,liong1 sin2
質數,zit5 su4
將有,ziong1 yiu1
大命,tai4 miang4
勁呀,gin4 a1
喊打喊殺,ham4 da3 ham4 sat5
好凍,hau3 dung4
及後,kip6 heu4
兩三日,liong1 sam1 ngit5
左轉,zo3 zon4
暴瀉,pau4 sia4
爆咪,bau4 mai4
便於,pien4 yi1
捧着,bung3 cok6
好路數,hau3 lu4 su4
想當然,siong3 dong1 yen2
雜食,cap6 sit6
當心,dong1 sim1
被單,pi1 dan1
只為,zit5 vui4
中學雞,zung1 hok6 gai1
彌敦道,li2 dun1 tau4
被窩,pi1 vo1
喪事,song1 su4
既為,gi4 vui2
盡力而為,cin4 lit6 yi2 vui2
喜怒哀樂,hi3 lu4 oi1 lok6
男伴,lam2 pan4
醒定,siang3 tin4
上湯,song4 tong1
有冇問題,yiu1 mau2 mun4 ti2
消息人士,siau1 sit5 ngin2 su4
聽天由命,tin4 tien1 yiu2 min4
第二度,ti4 ngi4 tu4
惡死,ok5 si3
三房,sam1 fong2
畢業後,bit5 ngiap6 heu4
到喇,dau4 la2
名列前茅,min2 liet6 cien2 mau2
安樂窩,on1 lok6 vo1
省時,sen3 si2
骨質疏鬆,gut5 zit5 so1 sung1
板仔,ban3 zai3
參考書,cam1 kau3 su1
驚歎,gin1 tan4
普魯士,pu1 lu1 su4
只用,zit5 yung4
重遊,cung2 yiu2
問長問短,mun4 cong2 mun4 don3
三角洲,sam1 gok5 ziu1
散沙,san3 sa1
化為烏有,fa4 vui2 vu1 yiu1
一盤散沙,yit5 pan2 san3 sa1
間距,gan4 ki3
百毒不侵,bak5 tuk6 but5 cim1
靚靚,liang4 liang4
聽障,tin4 zong4
好自為之,hau3 cu4 vui2 zu1
通勝,tung1 sin4
同道中人,tung2 tau4 zung1 ngin2
海上,hoi3 song4
卡其,ka1 ki2
實而不華,sit6 yi2 but5 fa2
更快,gen4 kai4
好似有,hau3 su4 yiu1
着陸,cok6 luk6
拗頸,au4 giang3
大相逕庭,tai4 siong1 gang4 tin2
邊種,bien1 zung3
傳宗接代,con2 zung1 ziap5 toi4
格食格,gak5 sit6 gak5
食風,sit6 fung1
攝時間,ngiap5 si2 gan4
包青天,bau1 ciang1 tien1
易容,yit6 yung2
三件,sam1 kien4
守望相助,siu3 mong4 siong1 co4
撥打,pat5 da3
前車可鑑,cien2 gi1 ko3 gam4
首屈一指,siu3 kiut5 yit5 zi3
真毒,zin1 tuk6
冇得用,mau2 det5 yung4
刷卡,sot5 kat6
車迷,ca1 mi2
印度人,yin4 tu4 ngin2
兩架,liong1 ga4
中間價,zung1 gan1 ga4
哎喲,ai1 yo3
打打殺殺,da3 da3 sat5 sat5
絕頂,ciet6 din3
行大運,hang2 tai4 yun4
謠傳,yau2 con2
歐冠,iu1 gon4
亦要,yit6 yau4
兩天,liong1 tien1
咩歌,me1 go1
看着,kon4 cok6
盧卡古,lu2 ka1 gu3
扁平足,bien3 pin2 zuk5
只等,zit5 den3
簽卡,ciam1 kat6
校裙,gau3 kiun2
不應該,but5 yin4 goi1
後浪,heu4 long4
吃不消,ket5 but5 siau1
要生要死,yau4 sang1 yau4 si3
代議士,toi4 ngi4 su4
隔岸觀火,gak5 ngan4 gon1 fo3
月相,ngiet6 siong4
修道,siu1 tau4
更名,gang1 min2
食蟹,sit6 hai3
針鋒相對,zim1 fung1 siong1 dui4
愛華頓,oi4 fa2 un4
不懷好意,but5 fai2 hau3 yi4
典解,dien3 gai3
力道,lit6 tau4
另眼相看,lang4 ngan3 siong1 kon4
未雨綢繆,vui4 yi3 ciu2 miu2
工作上,gung1 zok5 song4
好猛,hau3 mang1
解手,gai3 siu3
心靈雞湯,sim1 lin2 gai1 tong1
點錯相,diam3 co4 siong4
落仔,lok6 zai3
長年累月,cong2 ngien2 lui4 ngiet6
入咪,ngip6 mai4
兩層,liong1 cen2
傳譯,con2 yit6
好得閒,hau3 det5 han2
名狀,min2 cong4
泡湯,pau4 tong1
被視為,pi4 si4 vui2
遇難者,ngi4 lan4 za3
並將,bin4 ziong1
鄧炳強,ten4 biang3 kiong2
車齡,ca1 lin2
打底褲,da3 dai3 fu4
摩托車,mo2 tok5 ca1
昇平,sin1 pin2
廳長,tang1 zong3
不亦樂乎,but5 yit6 lok6 fu2
官校,gon1 gau3
散裝,san3 zong1
躺平,tong3 pin2
正皮,zin4 pi2
摺被,zap5 pi1
長過,cong2 go4
伏屍,fuk6 si1
一兩句,yit5 liong1 gi4
武士道,vu1 su4 tau4
不一會,but5 yit5 fui4
應機,yin4 gi1
心上人,sim1 song4 ngin2
患處,fam4 cu4
只跟,zit5 gen1
被問到,pi4 mun4 dau4
大獲全勝,tai4 vet6 cien2 sin4
興致勃勃,hin4 zi4 put6 put6
不公平,but5 gung1 pin2
都好聽,du1 hau3 tang4
雞仔聲,gai1 zai3 sang1
綱要,gong1 yau4
一錘定音,yit5 cui2 tin4 yim1
差池,ca1 ci2
足不出户,zuk5 but5 cut5 fu4
暴戾,pau4 lui4
禁慾,gim4 yuk6
好食好住,hau3 sit6 hau3 cu4
惡言相向,ok5 ngien2 siong1 hiong4
食生菜,sit6 sang1 coi4
監票,gam1 piau4
曾孫,zen1 sun1
打鑊,da3 vok6
快高長大,kai4 gau1 zong3 tai4
意興闌珊,yi4 hin4 lan2 san1
洗太平地,se3 tai4 pin2 ti4
腳掣,giok5 zi4
斷然,ton4 yen2
怕且,pa4 cia3
乾衣機,gon1 yi1 gi1
便器,pien4 hi4
冠冕,gon1 men1
輕而易舉,kiang1 yi2 yi4 gi3
倒灌,dau4 gon4
三樣,sam1 yong4
胃酸倒流,vui3 son1 dau4 liu2
轉入,zon3 ngip6
驚愕,gin1 ngok6
狠毒,hen3 tuk6
聯校,lien2 gau3
抓着,zau3 cok6
卒仔,zut5 zai3
長夜,cong2 ya4
激將法,git5 ziong4 fap5
會展,fui4 zien3
背泳,boi4 yun3
機場巴士,gi1 cong2 ba1 si3
港漂,gong3 piau1
名成利就,min2 sin2 li4 ciu4
最好不過,zui4 hau3 but5 go4
打齊,da3 ce2
心肌梗塞,sim1 gi1 gang3 set5
相鄰,siong1 lin2
打蠟,da3 lap6
荷葉,ho2 yap6
兩面,liong1 mien4
殺一儆百,sat5 yit5 gin3 bak5
隨傳隨到,sui2 con2 sui2 dau4
穿梭巴士,con1 so1 ba1 si3
三姑六婆,sam1 gu1 luk5 po2
歲晚,soi4 man1
正太,zin4 tai4
中庸,zung1 yung2
白金卡,pak6 gim1 ka1
投閒置散,teu2 han2 zi4 san3
天生麗質,tien1 sang1 li4 zit5
字裏行間,su4 li1 hong2 gan1
長糧,cong2 liong2
吉人天相,git5 ngin2 tien1 siong4
校慶,gau3 kin4
微觀,mi2 gon1
每間,mui1 gan1
樂評,ngok6 pin2
殺雞儆猴,sat5 gai1 gin3 heu2
燒着,sau1 cok6
打下機,da3 ha4 gi1
向好,hiong4 hau3
拖手仔,to1 siu3 zai3
為免,vui2 men1
落畫,lok6 fa4
肺結核,pui4 giet5 het6
潦倒,lau3 dau3
排解,pai2 gai3
靈界,lin2 gai4
兩頭,liong1 teu2
被選為,pi4 sien3 vui2
縫合,fung2 hap6
為人師表,vui2 ngin2 su1 biau3
順水推舟,sun4 sui3 tui1 ziu1
食鬼,sit6 gui3
通便,tung1 pien4
針卡,zim1 kat6
無生命,vu2 sang1 min4
惺惺相惜,sen1 sen1 siong1 sit5
醒醒定定,siang3 siang3 tin4 tin4
餅卡,biang3 kat6
桌上,zok5 song4
大咪,tai4 mai4
難逢,lan2 fung2
講緊咩,gong3 gin3 me1
要擊,yau4 git5
太極拳,tai4 kit6 kien2
着草,zok5 cau3
不良於行,but5 liong2 yi1 hang2
赴會,fu4 fui4
暗處,am4 cu4
德士,det5 su4
嬰兒車,yin1 yi2 ca1
校內,gau3 lui4
三倍,sam1 pui4
一鑊泡,yit5 vok6 pau1
斷六親,ton1 luk5 cin1
當食生菜,dong4 sit6 sang1 coi4
不置可否,but5 zi4 ko3 feu3
難兄難弟,lan2 hiung1 lan2 ti4
天公地道,tien1 gung1 ti4 tau4
勝利球迷,sin4 li4 kiu2 mi2
功德無量,gung1 det5 vu2 liong2
生定,sang1 tin4
環環相扣,van2 van2 siong1 keu4
中信,zung1 sin4
頂撞,din3 cong4
凡士林,fam2 su4 lim2
現正,hien4 zin4
兩班,liong1 ban1
心裏有數,sim1 li1 yiu1 su4
聖靈,sin4 lin2
轉為,zon3 vui2
第一名,ti4 yit5 min2
反轉豬肚,fan3 zon4 zu1 du3
顏射,ngan2 sa4
數下,su4 ha4
很少,hen3 sau3
差事,cai1 su4
當更,dong1 gang1
蚊怕水,mun1 pa4 sui3
手震,siu3 zin3
轉插,zon4 cap5
背熟,poi4 suk6
吃了,ket5 liau3
樂此不疲,lok6 cu3 but5 pi2
數簿,su4 pu1
平房,pin2 fong2
三項鐵人,sam1 hong4 tiet5 ngin2
雪中送炭,siet5 zung1 sung4 tan4
天長地久,tien1 cong2 ti4 giu3
冠冕堂皇,gon1 men1 tong2 fong2
送命,sung4 min4
旁門左道,pong2 mun2 zo3 tau4
卡關,ka1 gan1
三民主義,sam1 min2 zu3 ngi4
新年快樂,sin1 ngien2 kai4 lok6
誦經,sung4 gin1
花仔,fa1 zai3
兩三個鐘,liong1 sam1 go4 zung1
凹凸不平,ngiap5 tut6 but5 pin2
自行車,cu4 hang2 ca1
坐定粒六,co4 tin4 lip5 luk5
中央政府,zung1 yong1 zin4 fu3
金正恩,gim1 zin4 en1
有色人種,yiu1 set5 ngin2 zung3
問題上,mun4 ti2 song4
太上皇,tai4 song4 fong2
馳名,ci2 min2
尤為,yiu2 vui2
為害,vui2 hoi4
碗仔翅,von3 zai3 ci4
震耳欲聾,zin3 ngi3 yuk6 lung1
助興,co4 hin4
掛斷,ga4 ton1
藉詞,zia4 cu2
繁重,fan2 cung4
后冠,heu4 gon1
難辭其咎,lan2 cu2 ki2 giu4
銀兩,ngiun2 liong3
排卵,pai2 lon3
霎時間,sap5 si2 gan1
投其所好,teu2 ki2 so3 hau3
鬼打,gui3 da3
相看,siong1 kon4
上列,song4 liet6
氣定神閒,hi4 tin4 sin2 han2
傾兩句,kin1 liong1 gi4
為時已晚,vui2 si2 yi3 man1
要臉,yau4 liam3
少校,sau4 gau4
撈家,lau1 ga1
命大,miang4 tai4
三種,sam1 zung3
食波餅,sit6 bo1 biang3
龍仔,lung2 zai3
漫不經心,man4 but5 gin1 sim1
兩百,liong1 bak5
兩三次,liong1 sam1 cu4
牙縫,nga2 fung2
蛇仔,sa2 zai3
需唔需要,si1 m1 si1 yau4
中二病,zung1 ngi4 piang4
重修,cung2 siu1
度蜜月,tu4 mit6 ngiet6
和唱,fo4 cong4
比賽中,bi3 soi4 zung1
水平線,sui3 pin2 sien4
傳真機,con2 zin1 gi1
打電腦,da3 tien4 lau3
然之後,yen2 zu1 heu4
乾咳,gon1 ket5
替天行道,tai4 tien1 hang2 tau4
轉捩,zon3 liet6
善解人意,sen4 gai3 ngin2 yi4
讀過書,tuk6 go4 su1
起名,hi3 min2
生日卡,sang1 ngit5 kat6
死仔,si3 zai3
屈蛇,kiut5 sa2
炸兩,za4 liong3
從影,cung2 yang3
栓塞,san1 set5
不成文,but5 sin2 vun2
捕食,pu3 sit6
死定,si3 tin4
無形中,vu2 hin2 zung1
古今中外,gu3 gim1 zung1 ngoi4
祖傳,zu3 con2
不得其解,but5 det5 ki2 gai3
便攜,pien4 hi1
打丁,da3 den1
食古不化,sit6 gu3 but5 fa4
如釋重負,yi2 sit5 cung1 fu4
喇咩,la2 me1
兩全其美,liong1 cien2 ki2 mui1
咩衫,me1 sam1
急功近利,gip5 gung1 kiun4 li4
樂章,ngok6 zong1
代行,toi4 hang2
變為,bien4 vui2
嬉皮笑臉,hi1 pi2 siau4 liam3
一地兩檢,yit5 ti4 liong1 giam3
三家,sam1 ga1
散買,san3 mai1
填平,tien2 pin2
覺唔覺得,gok5 m1 gok5 det5
海燕,hoi3 yen4
靈光一閃,lin2 gong1 yit5 sam3
仇敵,siu2 tit6
超強,cau1 kiong2
荷花,ho2 fa1
曾有,cen2 yiu1
三級,sam1 kip5
扯線公仔,ca3 sien4 gung1 zai3
罪有應得,cui4 yiu1 yin1 det5
頂我,din3 ngo1
估估下,gu3 gu3 ha4
兇惡,hiung1 ok5
鬼臉,gui3 liam3
怨聲載道,yen4 sang1 zoi4 tau4
臨危受命,lim2 ngui2 siu4 min4
五成,ng3 sin2
泡芙,pau4 fu2
紓解,su1 gai3
行天橋,hang2 tien1 kiau2
黑車,het5 ca1
啦嘛,la1 ma1
字畫,su4 fa4
鄧小平,ten4 siau3 pin2
虛驚,hi1 gin1
傳情,con2 cin2
相讓,siong1 ngiong4
薰陶,hiun1 tau2
結為,giet5 vui2
腳仔軟,giok5 zai3 ngion1
萬里長城,man4 li1 cong2 sang2
駝背,to2 boi4
讀本,tuk6 bun3
草菅人命,cau3 gan1 ngin2 min4
相比起,siong1 bi3 hi3
中國經濟,zung1 get5 gin1 zi4
弟婦,ti4 fu4
結束後,giet5 suk5 heu4
剛強,gong1 kiong2
食硬,sit6 ngang4
乘數,sin2 su4
家家户户,ga1 ga1 fu4 fu4
稱兄道弟,cin1 hiung1 tau4 ti4
過三關,go4 sam1 gan1
行街紙,hang2 gai1 zi3
食價,sit6 ga4
劉德華,liu2 det5 fa2
生命線,sang1 min4 sien4
凳仔,den4 zai3
解籤,gai3 ciam1
打網,da3 miong3
騾仔,lo2 zai3
難聞,lan2 vun2
中唔中,zung4 m1 zung4
聽香,tang4 hiong1
巴士迷,ba1 su4 mi2
泡茶,pau4 ca2
被鋪,pi1 pu1
户內,fu4 lui4
坐墊,co4 tiap6
興趣班,hin4 ci4 ban1
朝頭早,zau1 teu2 zau3
腎虧,sin4 kui1
坐言起行,co4 ngien2 hi3 hang2
狗話,geu3 va4
公仔麵,gung1 zai3 mien4
生命體,sang1 min4 ti3
姪仔,cit6 zai3
平步青雲,pin2 pu4 ciang1 yun2
扮好人,pan4 hau3 ngin2
右上角,yiu4 song4 gok5
頂手,din3 siu3
禁絕,gim4 ciet6
三道,sam1 tau4
差婆,cai1 po2
兩本,liong1 bun3
小將,siau3 ziong4
從今以後,cung2 gim1 yi1 heu4
存户,sun2 fu4
上半年,song4 ban4 ngien2
打風落雨,da3 fung1 lok6 yi3
好似冇,hau3 su4 mau2
三份,sam1 fun4
斬中,zam3 zung1
千載難逢,cien1 zai3 lan2 fung2
紅玫瑰,fung2 moi2 gui4
優柔寡斷,yiu2 yiu2 ga3 ton4
隨着,sui2 cok6
倒果為因,dau3 go3 vui2 yin1
校正,gau4 zin4
身光頸靚,sin1 gong1 giang3 liang4
黃道,vong2 tau4
科長,ko1 zong3
乾水,gon1 sui3
一夫當關,yit5 fu1 dong1 gan1
三隊,sam1 dui4
成王敗寇,sin2 vong2 pai4 keu4
一本正經,yit5 bun3 zin4 gin1
收經,siu1 gin1
蛇蟲鼠蟻,sa2 cung2 cu3 li1
栽種,zai1 zung4
正室,zin4 sit5
大難臨頭,tai4 lan4 lim2 teu2
四成,si4 sin2
不易,but5 yi4
舊好,kiu4 hau3
器重,hi4 cung4
因間,yin1 gan1
四重奏,si4 cung2 zeu4
行雲流水,hang2 yun2 liu2 sui3
天衣無縫,tien1 yi1 vu2 fung2
中成藥,zung1 sin2 yok6
重疊,cung2 tiap6
經書,gin1 su1
一脈相承,yit5 mak5 siong1 sin2
兩塊,liong1 kai4
音調,yim1 tiau4
兩度,liong1 tu4
心有靈犀,sim1 yiu1 lin2 si1
錯落,co4 lok6
倒行逆施,dau3 hang2 ngiak6 si1
起承轉合,hi3 sin2 zon4 hap6
有婦之夫,yiu1 fu4 zu1 fu1
三層,sam1 cen2
便溺,pien4 lit6
當局者迷,dong1 kiuk6 za3 mi2
咬耳仔,ngau1 ngi3 zai3
伏兵,fuk6 bin1
卡死,ka1 si3
頂更,din3 gang1
經手人,gin1 siu3 ngin2
校風,gau3 fung1
瑞士法郎,sui4 su4 fap5 long2
曾俊華,zen1 zun4 fa2
胸有成竹,hiung1 yiu1 sin2 zuk5
散風,san4 fung1
打躉,da3 dun3
打擂台,da3 lui2 toi2
衣食無憂,yi1 sit6 vu2 yiu1
羊咩,yong2 me1
命硬,miang4 ngang4
揸正,za1 zang4
打光,da3 gong1
景嶺,gin3 liang1
電解,tien4 gai3
吉普車,git5 pu1 ca1
一兩隻,yit5 liong1 zak5
紐卡素,liu3 ka1 su4
少東,sau4 dung1
不相信,but5 siong1 sin4
度縮,tok6 suk5
高處,gau1 cu4
食言,sit6 ngien2
相當之,siong1 dong1 zu1
好少可,hau3 sau3 ko3
甜食,tiam2 sit6
參加者,cam1 ga1 za3
過關斬將,go4 gan1 zam3 ziong4
兩項,liong1 hong4
車牌號碼,ca1 pai2 hau4 ma1
打殺,da3 sat5
強健,kiong2 kien4
類推,lui4 tui1
六成,luk5 sin2
三胞胎,sam1 bau1 toi1
三四個,sam1 si4 go4
乾杯,gon1 bui1
行話,hong2 va4
好淫,hau3 yim2
約好,yok5 hau3
死不足惜,si3 but5 zuk5 sit5
相公,siong4 gung1
畫蛇添足,vak6 sa2 tiam1 zuk5
珍而重之,zin1 yi2 cung4 zu1
顛倒黑白,dien1 dau3 het5 pak6
客家話,hak5 ga1 va4
會陰,fui4 yim1
打搞,da3 gau3
趕頭趕命,gon3 teu2 gon3 miang4
強力部門,kiong2 lit6 pu4 mun2
娓娓道來,mui3 mui3 tau4 loi2
怕唔怕,pa4 m1 pa4
碰碰車,pung4 pung4 ca1
大惑不解,tai4 fet6 but5 gai3
當風,dong1 fung1
校譽,gau3 yi4
引蛇出洞,yin3 sa2 cut5 tung4
卡利,ka1 li4
散亂,san3 lon4
手作仔,siu3 zok5 zai3
斷了,ton4 liau3
責成,zit5 sin2
重見天日,cung2 gien4 tien1 ngit5
乾洗,gon1 se3
桂冠,gui4 gon1
要不要,yau4 but5 yau4
垂頭喪氣,sui2 teu2 song4 hi4
長孫,zong3 sun1
總經理,zung3 gin1 li1
車工,ca1 gung1
偏食,pien1 sit6
首度,siu3 tu4
重工業,cung1 gung1 ngiap6
腳背,giok5 boi4
很重要,hen3 cung1 yau4
亦曾,yit6 cen2
舟車勞頓,ziu1 gi1 lau2 un4
國畫,get5 fa4
天旋地轉,tien1 sien2 ti4 zon4
呀屌,a3 diau3
易如反掌,yi4 yi2 fan3 zong3
卑躬屈膝,bi1 giung1 kiut5 cit5
歡度,fon1 tu4
隨機應變,sui2 gi1 yin4 bien4
高低起伏,gau1 dai1 hi3 fuk6
強人所難,kiong3 ngin2 so3 lan2
揀飲擇食,gan3 yim3 cak6 sit6
泣不成聲,kip5 but5 sin2 sang1
好使好用,hau3 su3 hau3 yung4
升中,sin1 zung1
為國捐軀,vui4 get5 gien1 ki1
切要,ciet5 yau4
道德感,tau4 det5 gam3
哀樂,oi1 ngok6
將是,ziong1 si4
暴怒,pau4 lu4
半推半就,ban4 tui1 ban4 ciu4
好人好者,hau3 ngin2 hau3 za3
成交量,sin2 gau1 liong2
不近人情,but5 kiun4 ngin2 cin2
報案中心,bau4 on4 zung1 sim1
從屬,cung2 suk6
行咇,hang2 bit5
好屎,hau3 si3
尾班車,mui1 ban1 ca1
腥風血雨,siang1 fung1 hiet5 yi3
長凳,cong2 den4
關公災難,gan1 gung1 zai1 lan4
三下,sam1 ha4
勉為其難,mien1 vui2 ki2 lan2
散客,san3 hak5
心甘命抵,sim1 gam1 miang4 dai3
用得着,yung4 det5 cok6
糟質,zau1 zit5
後起之秀,heu4 hi3 zu1 siu4
搖擺不定,yau2 bai3 but5 tin4
裏邊,li1 bien1
從一而終,cung2 yit5 yi2 zung1
很容易,hen3 yung2 yi4
易潔鑊,yi4 giet5 vok6
廣州話,gong3 ziu1 va4
四名,si4 min2
處心積慮,cu3 sim1 zit5 li4
意中人,yi4 zung1 ngin2
判若兩人,pan4 yok6 liong1 ngin2
壽仔,siu4 zai3
設身處地,siet5 sin1 cu3 ti4
點着,diam3 cok6
小白臉,siau3 pak6 liam3
喂呀,vui3 a2
就地正法,ciu4 ti4 zin4 fap5
迎難而上,ngiang2 lan2 yi2 song4
一言一行,yit5 ngien2 yit5 hang2
兩對,liong1 dui4
啜泣,zot5 kip5
大户人家,tai4 fu4 ngin2 ga1
爵士樂,ziok5 su4 ngok6
調查後,tiau4 ca2 heu4
近因,kiun4 yin1
兩段,liong1 ton4
兩文三語,liong1 vun2 sam1 ngi1
三隻手,sam1 zak5 siu3
瞭如指掌,liau2 yi2 zi3 zong3
怒火中燒,lu4 fo3 zung1 sau1
生人勿近,sang1 ngin2 vut6 kiun4
英文中學,yin1 vun2 zung1 hok6
要份,yau4 fun4
海平面,hoi3 pin2 mien4
難為情,lan2 vui2 cin2
會錯意,fui4 co4 yi4
轉過頭,zon4 go4 teu2
一兩場,yit5 liong1 cong2
要訣,yau4 giet5
轉唔轉,zon4 m1 zon4
電極,tien4 kit6
斷流,ton4 liu2
大興,tai4 hin1
行書,hang2 su1
射線,sa4 sien4
裏應外合,li1 yin4 ngoi4 hap6
死於非命,si3 yi1 fui1 miang4
不見不散,but5 gien4 but5 san4
重陽節,cung2 yong2 ziet5
救車,giu4 ca1
晚黑,man1 het5
濕平,sip5 pin2
持卡人,ci2 kat6 ngin2
依從,yi1 cung2
修士,siu1 su4
青黃,ciang1 vong2
行下街,hang2 ha4 gai1
以訛傳訛,yi1 ngo2 con2 ngo2
牌簿,pai2 pu4
掉轉頭,tiau4 zon4 teu2
磨爛蓆,mo2 lan4 ciak6
版畫,ban3 fa4
打響頭炮,da3 hiong3 teu2 pau4
得個名,det5 go4 miang2
諗掂,lem3 tiam4
吞吐量,tun1 tu4 liong4
中彩,zung4 cai3
後患無窮,heu4 fam4 vu2 kiung2
兩聲,liong1 sang1
執下,zip5 ha4
三頭,sam1 teu2
茶水間,ca2 sui3 gan1
一頂,yit5 dang3
命水,miang4 sui3
咬文嚼字,ngau1 vun2 ziok5 su4
三十萬,sam1 sip6 man4
挨近,ai1 kiun1
長實,cong2 sit6
應分,yin1 fun4
搖滾樂,yau2 gun3 ngok6
迄今為止,ngiet5 gim1 vui2 zi3
即日鮮,zit5 ngit5 sien1
煮食爐,zu3 sit6 lu2
一擔擔,yit5 dam4 dam1
相勸,siong1 kien4
巴士佬,ba1 si3 lau3
打落水狗,da3 lok6 sui3 geu3
量地,liong2 ti4
省卻,sen3 kiok5
榮華富貴,yin2 fa2 fu4 gui4
一應俱全,yit5 yin4 ki1 cien2
伊士,yi1 si3
腎虛,sin4 hi1
打字機,da3 su4 gi1
定海神針,tin4 hoi3 sin2 zim1
篤背脊,duk5 boi4 zit5
旗鼓相當,ki2 gu3 siong1 dong1
平民化,pin2 min2 fa4
中碼,zung1 ma1
飯後,fan4 heu4
眷屬,gien4 suk6
哩數,li1 su4
字正腔圓,su4 zin4 kiong1 yen2
兩格,liong1 gak5
銀行系,ngiun2 hong2 hi4
排水量,pai2 sui3 liong4
墊支,tiap6 zi1
好串,hau3 con4
無名氏,vu2 min2 si4
爭鮮,zang1 sien1
度水,tok6 sui3
臨行,lim2 hang2
不難,but5 lan2
校務處,gau3 vu4 cu3
洋將,yong2 ziong4
五行,ng3 hong2
搭順風車,dap5 sun4 fung1 ca1
度假屋,tu4 ga3 vuk5
糖衣毒藥,tong2 yi1 tuk6 yok6
襟兄弟,kim1 hiung1 ti4
心散,sim1 san3
侍從,si4 cung2
損兵折將,sun3 bin1 ziet5 ziong4
禍不單行,fo4 but5 dan1 hang2
長治久安,cong2 ci4 giu3 on1
相對濕度,siong1 dui4 sip5 tu4
左上角,zo3 song4 gok5
轉右,zon4 yiu4
格仔餅,gak5 zai3 biang3
講下笑,gong3 ha4 siau4
好恰,hau3 kap5
六道,luk5 tau4
三首,sam1 siu3
門當户對,mun2 dong1 fu4 dui4
降職,gong4 zit5
旅遊巴士,li3 yiu2 ba1 si3
使節,si4 ziet5
走火通道,zeu3 fo3 tung1 tau4
拍打,pok5 da3
太興,tai4 hin1
長襪,cong2 mat5
約為,yok5 vui2
晚輩,man1 bui4
慢磨,man4 mo2
電解質,tien4 gai3 zit5
黑吃黑,het5 ket5 het5
着落,cok6 lok6
便要,pien4 yau4
汗流浹背,hon4 liu2 hiap6 boi4
落後緊,lok6 heu4 gin3
少年人,sau4 ngien2 ngin2
正花,zang4 fa1
鄭中基,cang4 zung1 gi1
旗幟鮮明,ki2 ci4 sien1 min2
設為,siet5 vui2
惡報,ok5 bau4
平郵,pin2 yiu2
惜身,siak5 sin1
食錯藥,sit6 co4 yok6
曾蔭權,zen1 yim4 kien2
更低,gen4 dai1
機會主義,gi1 fui4 zu3 ngi4
一刀兩斷,yit5 dau1 liong1 ton4
寸步難行,cun4 pu4 lan2 hang2
三六,sam1 luk5
青草,ciang1 cau3
計量,ge4 liong4
校訓,gau3 hiun4
啱食,ngam1 sit6
華田,fa2 tien2
宰相,zai3 siong4
緝毒,cip5 tuk6
長靴,cong2 hio1
番號,fan1 hau4
解渴,gai3 hot5
生意興隆,sang1 yi4 hin1 lung2
震源,zin3 ngien2
種金,zung4 gim1
短處,don3 cu4
支長,zi1 cong2
包生仔,bau1 sang1 zai3
董建華,dung3 gien4 fa2
白種人,pak6 zung3 ngin2
大三巴,tai4 sam1 ba1
兩篇,liong1 pien1
語出驚人,ngi1 cut5 gin1 ngin2
遞解,ti4 gai4
驚豔,gin1 yam4
潑婦罵街,pat5 fu4 ma4 gai1
十名,sip6 min2
