char,pron
牙刷,nga2 sot5
牙擦,nga2 cat5
牙膏,nga2 gau1
勺嫲,sok6 ma2
葫蘆杓,pu2 lu2 sok6
擂搥,lui2 cui2
水缸,sui3 gong1
缽頭,bat5 teu2
罌哥,ang1 go1
茶盅,ca2 zung1
沸水壼,bui4 sui3 fu2
茶壼,ca2 fu2
暖壼,lon1 fu2
調羹,ci2 gang1
飯勺,fan4 sok6
筷子,kai4 zu3
火炭,fo3 tan4
火灰,fo3 foi1
爐墩,lu2 dun3
火桶,fo3 tung3
火爐,fo3 lu2
起火,hi3 fo3
鑊頭,vok6 teu2
鑊蓋,vok6 goi4
鍋鏟,vok6 can3
鍋癆,vok6 lau1
砧板,ziem1 ban3
刀嫲,dau2 ma2
蒸籠,zin1 lung2
飯甑,fan4 zen4
筲箕,sau4 gi1
撈箕,lau2 gi1
鑊掃,vok6 sau4
桌帕,zok5 pa4
火柴,fo3 cai2
煙筒,yen1 tung2
水煙筒,sui3 yen1 tung2
電筒,tien4 tung2
電火,tien4 fo3
蠟蠋,lap6 zuk5
電油,tien4 yiu2
火水,fo3 sui3
尿桶,ngiau4 tung3
尿角,ngiau4 gok5
痰筒,tam2 tung2
吊桶,diau4 tung3
鎖匙,so3 si2
鎖頭,so3 teu2
蓑衣,so1 yi1
笠嫲,lip5 ma2
掃杆,sau4 gon3
掃把,sau4 ba3
竹篙,zuk5 gau1
丫叉,a1 ca1
丫叉仔,a1 ca1 zai3
拐掍,gai3 gun4
罍仔,lui3 zai3
釣檳,diau4 bin1
傢生,ga1 sang1
錘仔,cui2 zai3
鉆仔,zon4 zai3
斧頭,bu3 teu2
鉗仔,kiam2 zai3
鑿仔,cok6 zai3
鋸仔,gi4 zai3
銼刀,co4 tau2
刨仔,pau2 zai3
鉤仔,geu1 zai3
鐵釘,tiet5 dang1
剪刀,zien3 dau1
頂指,din3 zi3
衣車,yi1 ca1
邊唇,bien1 sun2
開坼,hoi1 cak5
衫褲,sam1 fu4
剪布,zien3 bu4
