char,waitau,hakka,notes
珠,zü1,zu1,
主,zü2,zu3,
砫,zü2,zu3,
煮,zü2,zu3,
麈,zü2,zu3,
陼,zü2,du3,
渚,zü2,zu3,
炷,zü1,zu4,
注,zü1,zu4,
鉒,zü1,zu4,
註,zü1,zu4,
馵,zü1,zu4,
鑄,zü1,zu4,
駐,zü1,zu4,
蛀,zü1,zu4,
翥,zü1,zu4,
著,zü1,zu4,～作
拄,zü1,zu4,
住,zü6,cu4,
箸,zü1,cu4,
觸,zuk2,cuk5,
躅,zuk2,cuk5,
祝,zuk2,zuk5,
筑,zuk2,zuk5,
築,zuk2,zuk5,
燭,zuk2,zuk5,
竺,zuk2,zuk5,
囑,zuk2,zuk5,
孎,zuk2,zuk5,
斸,zuk2,zuk5,
竹,zuk2,zuk5,
柷,zuk2,zuk5,
粥,zuk2,zuk5,
蠋,zuk2,zuk5,
蠾,zuk2,zuk5,
屬,zuk2,zuk5,～意
篧,zuk2,zok5,
足,zuk2,zuk5,
捉,zuk2,zok5,～棋
捉,zuk2,zuk5,～蝴蝶
矚,zuk2,zuk5,
軸,zuk6,cuk6,
舳,zuk6,cuk6,
逐,zuk6,cuk6,
妯,zuk6,cuk6,
俗,zuk6,suk6,
續,zuk6,suk6,
藚,zuk6,suk6,
簇,zuk6,cuk6,
濁,zuk6,cuk6,
族,zuk6,cuk6,
鏃,zuk6,cuk6,
蔟,zuk6,cuk6,
鐲,zuk6,cuk6,
專,züng1,zon1,
嫥,züng1,zon1,
鄟,züng1,zon1,
鱄,züng1,zon1,
顓,züng1,zon1,
遄,züng1,zon1,
剸,züng1,zon1,
磚,züng1,zon1,
耑,züng1,zon1,（＝專）
躦,züng1,zien1,
鐫,cüng4,zien1,
鑽,züng1,zon1,（穿過）
尊,züng1,zun1,
諯,züng1,zon1,
轉,züng2,zon3,～運
噂,züng2,zun3,
轉,züng1,zon4,～彎
轉,züng1,zon4,～軸
囀,züng1,zon4,
鑽,züng1,zon4,～石、電～
傳,züng6,con4,～記
樁,zung1,zung1,
忪,zung1,zung1,
終,zung1,zung1,
伀,zung1,zung1,
忠,zung1,zung1,
彸,zung1,zung1,
盅,zung1,zung1,
鼨,zung1,zung1,
鍾,zung1,zung1,
舂,zung1,zung1,
鐘,zung1,zung1,
蹖,zung1,zung1,
憃,zung1,zung1,
中,zung1,zung1,～心
縱,zung1,zung1,～橫
稯,zung1,zung1,
棕,zung1,zung1,
宗,zung1,zung1,
騣,zung1,zung1,
鍐,zung1,zung1,
賨,zung1,zung1,
艐,zung1,zung1,
鬃,zung1,zung1,
翪,zung1,zung1,
豵,zung1,zung1,
鬷,zung1,zung1,
蹤,zung1,zung1,
螽,zung1,zung1,
煄,zung2,zung3,
尰,zung2,zung3,
腫,zung2,zung3,
種,zung2,zung3,～類
瘲,zung2,zung3,
傯,zung2,zung3,
摠,zung2,zung3,
總,zung2,zung3,
踵,zung2,zung3,
中,zung1,zung4,～獎
種,zung1,zung4,～植
縱,zung1,zung3,～壞
縱,zung1,zung4,放～
粽,zung1,zung4,
綜,zung1,zung4,
眾,zung1,zung4,
仲,zung6,cung4,
揰,zung6,cung4,
銃,zung6,cung4,
重,zung6,cung4,～視
訟,zung6,sung4,
頌,zung6,sung4,
誦,zung6,sung4,
從,zung6,cung4,～兄弟
啜,zük2,zot5,
窋,zük2,zot5,
棳,zük2,zot5,
拙,zük2,zot5,
梲,zük2,zot5,
茁,zük2,zot5,
醊,zük2,zot5,
絀,zük2,zot5,
畷,zük2,dot5,
剟,zük2,dot5,
黜,zük2,zut5,
惙,zük2,dot5,
掇,zük2,dot5,
鵽,zük2,dot5,
輟,zük2,dot5,
餟,zük2,dot5,
裰,zük2,dot5,
絕,zük6,ciet6,
蕝,zük6,ciet6,
成,,cang2,米～
的,,dit6,～士
愍,,min3,打趁～
定,,din2,好～～
壓,,ep5,～等
稠,,leu2,粥好～
極,,git6,～～震
震,,zun1,極極～
欸,e6,e3,
咯,,lo3,好～ 死～
哦,,o1,
呀,,a2,恁久～
子,,zu1,賴～、妹～、肥肥～、看下～
噎,,et6,打～豛
吂,maeng4,man2,～知、～好
啱,ngam1,ngam1,
哶,me1,mia1,
著,,cok6,唔～
盛,säng6,sin4,如松之～
發,fæk2,bot5,～夢
眠,ming4,mien2,睡～
傍,,bong3,～飯、～酒
