char,canton,waitau,searchkey,hakka1,hakka2,Notes
侘,ca3,ca1,侘ca3,za4,,
侚,sön4,säng4,侚sön4,sun2,,
供,gung1,gung1,供gung1,giung1,,~應
供,gung3,gung1,供gung3,giung4,,~品
侜,zäu1,zäu1,侜zäu1,ziu1,,
依,yi1,yi1,依yi1,yi1,,
侮,mou5,mu1,侮mou5,vu1,,
侯,häu4,häu4,侯häu4,hiu2,,
侲,zän3,zäng1,侲zän3,zin3,,
侵,cäm1,cäm1,侵cäm1,cim1,,
侶,löi5,lü1,侶löi5,li1,,
侷,guk6,guk6,侷guk6,kiuk6,,
侺,säm4,säm4,侺säm4,sim4,,
侻,tüt3,tük2,侻tüt3,tot5,,
便,bin6,bing6,便bin6,pien4,,~利
便,pin4,ping4,便pin4,pien2,,~宜
俁,ng4,ng4,俁ng4,ng2,,
係,häi6,häi6,係häi6,he4,,
促,cuk1,cuk2,促cuk1,cuk5,,
俄,ngo4,ngo4,俄ngo4,ngo2,,
俅,käu4,käu4,俅käu4,kiu2,,
俇,kwong4,kwong4,俇kwong4,kong3,,
俊,zön3,zäng1,俊zön3,zun4,,
俋,yäp1,yäp2,俋yäp1,yip5,,
俎,zo2,zo2,俎zo2,zo3,,
俏,ciu3,ciu1 ,俏ciu3,ciau4,,
俐,lei6,li6,俐lei6,li4,,
俑,yung2,yung2,俑yung2,yung3,,
俓,ging3,gäng1,俓ging3,gang4,,
俗,zuk6,zuk6,俗zuk6,siuk6,,
俘,fu1,fu1,俘fu1,fu1,,
俙,hei1,hi1,俙hei1,hi1,,
俚,lei5,li1,俚lei5,li1,,
俛,fu2,fu2,俛fu2,fu3,,(=俯)
俛,min5,ming1,俛min5,mien1,,(=勉)
俜,ping1,päng1,俜ping1,pin1,,
保,bou2,bäu2,保bou2,bau3,,
俞,yü4,yü4,俞yü4,yi2,,
俟,si6,si6,俟si6,su4,,
俠,hap6,hap6,俠hap6,hiap6,,
信,sön3,säng1,信sön3,sin4,,
修,säu1,säu1,修säu1,siu1,,
俯,fu2,fu2,俯fu2,fu3,,
俱,köi1,kü1,俱köi1,ki1,,
俳,pai4,pai4,俳pai4,pai2,,
俵,biu2,biu2,俵biu2,biau3,,
俶,suk6,suk6,俶suk6,suk5,,
俸,fung2,fung6,俸fung2,fung4,,
俺,yim3,yim1,俺yim3,yam3,,
俾,bei1,bi1,俾bei1,bi1,,
倀,cöng1,cöng1,倀cöng1,cong2,,
倅,cöi3,cöi1 ,倅cöi3,zut5,,(=卒)
倅,zöt1,zäk2,倅zöt1,cui4,,(副的)
倆,löng5,löng1,倆löng5,liong3,,
倉,cong1,cong1,倉cong1,cong1,,
個,go3,go1 ,個go3,go4,,
倌,gwun1,gwung1 ,倌gwun1,gon1,,
倍,pui5,pui1,倍pui5,pui4,,
倏,sap3,sap2 ,倏sap3,sap5,,
們,mun4,mung4,們mun4,mun2,,
倒,dou2,däu2,倒dou2,dau3,,~垃圾
倒,dou3,däu1,倒dou3,dau4,,~後
倓,tam4,tam4,倓tam4,tam2,,
倔,gwät6,gwäk6,倔gwät6,kiut5,,
倕,söi4,söi4,倕söi4,sui2,,
倖,häng6,häng6,倖häng6,hen4,,
倗,päng4,päng4,倗päng4,pen2,,
倘,tong2,tong2,倘tong2,tong3,,
候,häu6,häu6,候häu6,hiu4,,
倚,yi2,yi2,倚yi2,yi3,,
倜,tik1,täk2,倜tik1,tit5,,
倞,löng6,löng6,倞löng6,liong4,,
借,ze3,ze1,借ze3,zia4,,
倠,fäi1,fäi1,倠fäi1,fui1,,
倡,cöng1,cöng1,倡cöng1,cong1,,(演員)
倡,cöng3,cöng1,倡cöng3,cong4,,提~
倢,zip3,zip2,倢zip3,ciap6,,
倣,fong2,fong2,倣fong2,fong3,,
倥,hung1,hung1,倥hung1,kung1,,
倦,gün6,güng6,倦gün6,kien4,,
倨,göi3,gü1,倨göi3,gi4,,
倩,sin6,sing6,倩sin6,cien4,,
倪,yi4,yi4,倪yi4,ngi2,,
倫,lön4,läng4,倫lön4,lun2,,
倬,cök3,cök2,倬cök3,zok5,,
倭,wäi1,wäi1,倭wäi1,vui1,,~遲
倭,wo1,wo1,倭wo1,vo1,,~寇
倰,ling4,läng4 ,倰ling4,lin2,,
倳,zi3,zi1,倳zi3,zu4,,
值,zik6,zäk6,值zik6,cit6,,
偃,yin2,ying2,偃yin2,yen3,,
偆,cön2,cäng2,偆cön2,cun3,,
假,ga2,ga2,假ga2,ga3,,真假
假,ga3,ga1,假ga3,ga4,,假期
偈,git3,gik2,偈git3,giet5,,
偉,wäi5,wäi1,偉wäi5,vui3,,
偊,yü5,yü1,偊yü5,yi3,,
偌,ye6,ye6,偌ye6,ngia3,,
偎,wui1,wui1,偎wui1,voi1,,
偏,pin1,ping1,偏pin1,pien1,,
偓,uk1,uk2,偓uk1,vok5,,
偕,hai4,hai4,偕hai4,hai2,,
做,zou6,zu6,做zou6,zo4,,
停,ting4,täng4,停ting4,tin2,,
偝,bui6,bui6,偝bui6,poi4,,
偞,yip6,yip6,偞yip6,yap6,,
偟,wong4,wong4,偟wong4,fong2,,
偠,yiu2,yiu2,偠yiu2,yau3,,
健,gin6,ging6,健gin6,kien4,,
偩,fu6,fu6,偩fu6,fu4,,
偪,bik1,bäk2,偪bik1,bit5,,
偫,si6,si6,偫si6,su4,,
偭,min5,ming1,偭min5,mien4,,
偯,yi2,yi2,偯yi2,yi3,,
偰,sit3,sik2,偰sit3,siet5,,
偲,si1,si1,偲si1,su1,,
側,zäk1,zäk2,側zäk1,zet5,,
偵,zing1,zäng1,偵zing1,zin1,,
偶,ngäu5,ngäu1,偶ngäu5,ngiu3,,
偷,täu1,täu1,偷täu1,tiu1,,
偺,za1,za1,偺za1,za1,,
偽,ngäi6,ngäi6,偽ngäi6,ngui4,,
傀,fai3,fai1,傀fai3,kui3,,~儡
傀,gwäi1,gwäi1,傀gwäi1,gui1,,~奇
