char,canton,waitau,searchkey,hakka1,hakka2,Notes
煬,yöng4,yöng4,煬yöng4,yong2,,
煮,zü2,zü2,煮zü2,zu3,,
煲,bou1,bäu1,煲bou1,bau1,,
煻,tong4,tong4,煻tong4,tong2,,
煽,sin3,sing1,煽sin3,sien4,,
熀,nip6,nip6,熀nip6,ngiap5,,
熄,sik1,säk2,熄sik1,sit5,,
熅,wät1,wäk2,熅wät1,vut5,,
熇,hok3,hok2,熇hok3,kok5,,
熊,hung4,hung4,熊hung4,yung2,,
熏,fän1,fäng1,熏fän1,hiun1,,
熒,ying4,yäng4,熒ying4,yin2,,
熔,yung4,yung4,熔yung4,yung2,,
熙,hei1,hi1,熙hei1,hi1,,
熚,bät1,bäk2,熚bät1,bit5,,
熟,suk6,suk6,熟suk6,suk6,,
熠,yäp1,yäp2,熠yäp1,yip6,,
熨,wän6,wäng6,熨wän6,yun4,,
熬,ngou4,ngäu4,熬ngou4,ngau2,,
熯,hon3,fung1,熯hon3,hon4,,
熰,äu1,äu1,熰äu1,iu1,,
熱,yit6,ngik6,熱yit6,ngiet6,,
熲,gwing2,gwäng2,熲gwing2,gen3,,
熹,hei1,hi1,熹hei1,hi1,,
熾,ci3,ci1,熾ci3,ci4,,
燀,sin6,sing6,燀sin6,sien4,,
燂,tam4,tam4,燂tam4,tam2,,
燃,yin4,ying4,燃yin4,yen2,,
燄,yim6,yim6,燄yim6,yam4,,
燈,däng1,däng1,燈däng1,den1,,
燉,dän6,däng6,燉dän6,dun1,,
燋,ziu3,ziu1,燋ziu3,ziau4,,
燎,liu6,liu6,燎liu6,liau4,,
燐,lön4,läng4,燐lön4,lin2,,
燒,siu1,siu1,燒siu1,sau1,,
燔,fan1,fæng1,燔fan1,fan1,,
燕,yin1,ying1,燕yin1,yen1,,~京
燕,yin3,ying1,燕yin3,yen4,,~窩
燖,cim4,cim4,燖cim4,cim2,,
燙,tong3,tong1,燙tong3,tong4,,
燜,mun6,mung6,燜mun6,mun4,,
營,ying4,yäng4,營ying4,yang2,,露~
營,ying4,yäng4,營ying4,yin2,,~養
燠,yuk1,yuk2,燠yuk1,yuk5,,
燥,cou3,cäu1 ,燥cou3,cau4,,
燦,can3,cæng1,燦can3,can3,,
燧,söi6,söi6,燧söi6,sui4,,
燬,wäi2,wäi2,燬wäi2,fui3,,
燭,zuk1,zuk2,燭zuk1,zuk5,,
燮,sit3,sik2,燮sit3,siet5,,
燴,wui6,wui6,燴wui6,fui4,,
燹,sin2,sing2,燹sin2,sien3,,
燻,fän1,fäng1,燻fän1,hiun1,,
燼,zön6,zäng6,燼zön6,zin4,,
燾,tou4,täu4,燾tou4,tau2,,
燿,yiu6,yiu6,燿yiu6,yau4,,
爁,lam6,lam6,爁lam6,lam3,,
爆,bau3,bau1,爆bau3,bau4,,
爇,yit6,ngik6,爇yit6,ngiet6,,
爍,cök3,cök2,爍cök3,sok5,,
爐,lou4,lu4,爐lou4,lu2,,
爓,yim3,yim1,爓yim3,yam4,,
爚,yök3,yök2,爚yök3,yok5,,
爛,lan6,læng6,爛lan6,lan4,,
爝,zök3,zök2,爝zök3,ziok5,,
爟,gwun3,gwung1,爟gwun3,gon4,,
爨,cün3,cüng1,爨cün3,cun4,,
爪,zau2,zau2,爪zau2,zau3,,
爬,pa4,pa4,爬pa4,pa2,,
爭,zang1,zæng1,爭zang1,zang1,,~氣
爭,zäng1,zäng1,爭zäng1,zang1,,"~執, 戰~"
爰,wun4,wung4,爰wun4,yen1,,
爵,zök3,zök2,爵zök3,ziok5,,
父,fu6,fu6,父fu6,fu4,,
爸,ba1,ba1,爸ba1,ba1,,
爹,de1,de1,爹de1,dia1,,
爺,ye4,ye4,爺ye4,ya2,,
爻,ngau4,ngau4,爻ngau4,ngau2,,
爽,song2,song2,爽song2,song3,,
爾,yi5,yi1,爾yi5,li3,,
爿,cöng4,cöng4,爿cöng4,ciong2,,
牀,cong4,cong4,牀cong4,cong2,,
牂,zong1,zong1,牂zong1,zong1,,
牄,cöng1,cöng1,牄cöng1,ciong1,,
牆,cöng4,cöng4,牆cöng4,siong2,,
片,pin2,ping2,片pin2,pien3,,西~
片,pin2,ping2,片pin2,pien4,,尿~
片,pin3,ping1,片pin3,pien3,,~糖
片,pin3,ping1,片pin3,pien4,,~面
版,ban2,bæng2,版ban2,ban3,,
牉,pun3,pung1,牉pun3,pan4,,
牋,zin1,zing1,牋zin1,zien1,,
牌,pai4,pai4,牌pai4,pai2,,
牒,dip6,dip6,牒dip6,tiap6,,
牓,bong2,bong2,牓bong2,bong3,,
牖,yäu6,yäu6,牖yäu6,yiu3,,
牘,duk6,duk6,牘duk6,tuk6,,
牙,nga4,nga4,牙nga4,nga2,,
牚,cang1,cæng1,牚cang1,cang1,,
牛,ngäu4,ngäu4,牛ngäu4,ngiu2,,
牝,pän5,päng1,牝pän5,pi3,,
牟,mäu4,mäu4,牟mäu4,miu2,,
牠,ta1,ta1,牠ta1,ta1,,
牡,mau5,mau1,牡mau5,miu3,,
牢,lou4,läu4,牢lou4,lau2,,
牣,yän6,yäng6,牣yän6,ngiun4,,
牧,muk6,muk6,牧muk6,muk6,,
物,mät6,mäk6,物mät6,vut6,,
牮,zin3,zing1,牮zin3,zien4,,
牯,gwu2,gwu2,牯gwu2,gu3,,
牲,säng1,sæng1,牲säng1,sang1,,
牴,däi2,däi2,牴däi2,di3,,
牶,hün3,hüng1,牶hün3,kien4,,
牷,cün4,cüng4,牷cün4,cien2,,
牸,ci3,ci1,牸ci3,ci4,,
特,däk6,däk6,特däk6,tet6,,~別
特,däk6,däk6,特däk6,tit6,,~務
牻,mong4,mong4,牻mong4,mang2,,
牼,häng1,häng1,牼häng1,gin1,,
牽,hin1,hing1,牽hin1,kien1,,
牾,ng4,ng4,牾ng4,ngu4,,
牿,guk1,guk2,牿guk1,guk5,,
犀,säi1,säi1,犀säi1,si1,,
犁,läi4,läi4,犁läi4,lai2,,
犄,gei1,gi1,犄gei1,yi1,,
犅,gong1,gong1,犅gong1,gong1,,
犆,däk6,däk6,犆däk6,tit6,,
犉,sön4,säng4,犉sön4,sun2,,
犍,gin1,ging1,犍gin1,gien1,,~牛
犍,kin4,king4,犍kin4,kien2,,~為(地名)
犎,fung1,fung1,犎fung1,fung1,,
犒,gou2,gäu2,犒gou2,gau3,,
犖,lok3,lok2,犖lok3,lok5,,
犗,gai3,gai1,犗gai3,gai4,,
犘,ma4,ma4,犘ma4,ma2,,
犛,lei4,li4,犛lei4,li2,,
犝,tung4,tung4,犝tung4,tung2,,
犢,duk6,duk6,犢duk6,tuk6,,
犧,hei1,hi1,犧hei1,hi1,,
犨,cäu4,cäu4,犨cäu4,ciu2,,
犬,hün2,hüng2,犬hün2,kien3,,
犮,bät6,bäk6,犮bät6,pat6,,
犯,fan6,fæng6,犯fan6,fam1,,~法
犯,fan6,fæng6,犯fan6,fam4,,犯~
犴,hon4,fung4,犴hon4,hon4,,(駝鹿)
犴,ngon6,wung6,犴ngon6,ngan4,,(監獄)
犵,hät1,häk2,犵hät1,get5,,
犺,kong3,kong1,犺kong3,kong3,,
狀,zong6,zong6,狀zong6,cong4,,
狁,wän5,wäng1,狁wän5,yun3,,
狂,kwong4,kwong4,狂kwong4,kong2,,
狃,näu2,näu2,狃näu2,ngiu3,,
狄,dik6,däk6,狄dik6,tit6,,
狉,pei1,pi1,狉pei1,pi1,,
狌,säng1,säng1,狌säng1,sang1,,
狎,ap3,ap2,狎ap3,ap5,,
狐,wu4,wu4,狐wu4,fu2,,
狒,fät1,fäk2,狒fät1,fui4,,
狖,yäu6,yäu6,狖yäu6,yiu4,,
狗,gäu2,gäu2,狗gäu2,giu3,,
狘,yüt6,yük6,狘yüt6,yet6,,
狙,zöi1,zöi1,狙zöi1,zu1,,
狠,hän2,häng2,狠hän2,hen3,,
狡,gau2,gau2,狡gau2,gau3,,
狤,gät1,gäk2,狤gät1,git5,,
狨,yung4,yung4,狨yung4,yung2,,
狩,säu2,säu2,狩säu2,siu3,,
狴,bäi6,bäi6,狴bäi6,pi4,,
狶,hei1,hi1,狶hei1,hi1,,
狷,gün3,güng1,狷gün3,gien4,,
狸,lei4,li4,狸lei4,li2,,
狹,hap3,hap2,狹hap3,kiap6,,
狺,ngän4,ngäng4,狺ngän4,ngiun2,,
狻,sün1,süng1,狻sün1,son1,,
狼,long4,long4,狼long4,long2,,
狽,bui3,bui1,狽bui3,bui4,,
猇,hau1,hau1,猇hau1,hau1,,
猊,yi4,yi4,猊yi4,ngi2,,
猋,biu1,biu1,猋biu1,biau1,,
猓,gwo2,gwo2,猓gwo2,go3,,
猖,cöng1,cöng1,猖cöng1,cong1,,
猗,yi1,yi1,猗yi1,yi1,,
猙,zäng1,zäng1,猙zäng1,zen1,,
猛,mang5,mæng1,猛mang5,mang1,,
猜,cai1,cai1,猜cai1,cai1,,
猝,cöt1,cäk2,猝cöt1,cut5,,
猢,wu4,wu4,猢wu4,fu2,,
猥,wui1,wui1,猥wui1,voi1,,
猧,wo1,wo1,猧wo1,vo1,,
猩,sing1,säng1,猩sing1,sin1,,
猭,cün4,cüng4,猭cün4,con2,,
猰,at3,æk2,猰at3,at5,,
猱,yäu4,yäu4,猱yäu4,yiu2,,
猲,hit3,hik2,猲hit3,hiet5,,
猴,häu4,häu4,猴häu4,hiu2,,
猶,yäu4,yäu4,猶yäu4,yiu2,,
猷,yäu4,yäu4,猷yäu4,yiu2,,
猺,yiu4,yiu4,猺yiu4,yau2,,
猻,sün1,süng1,猻sün1,sun1,,
猾,wat6,wæk6,猾wat6,vat6,,
猿,yün4,yüng4,猿yün4,yen2,,
獃,ngoi4,wui4,獃ngoi4,ngoi2,,
獄,yuk6,yuk6,獄yuk6,ngiuk6,,
獅,si1,si1,獅si1,su1,,
獍,ging3,gäng1,獍ging3,gin4,,
獎,zöng2,zöng2,獎zöng2,ziong3,,
獐,zöng1,zöng1,獐zöng1,ziong1,,
獒,ngou4,ngäu4,獒ngou4,ngau2,,
獗,küt3,kük2,獗küt3,kiet5,,
獘,bäi3,bäi1,獘bäi3,bi4,,
獝,gwät1,gwäk2,獝gwät1,git5,,
獞,tung4,tung4,獞tung4,tung2,,
獠,liu4,liu4,獠liu4,liau2,,
獧,gün3,güng1,獧gün3,gien4,,
獨,duk6,duk6,獨duk6,tuk6,,
獪,kwui2,kwui2,獪kwui2,kai4,,
獫,him2,him2,獫him2,hiam3,,
獬,hai6,hai6 ,獬hai6,hai4,,
獮,sin2,sing2,獮sin2,sien3,,
獯,fän1,fäng1,獯fän1,hiun1,,
獰,ning4,näng4,獰ning4,len2,,
獲,wok6,wok6,獲wok6,vet6,,
獳,näu2,näu2,獳näu2,liu3,,
獵,lip6,lip6,獵lip6,liap6,,
獷,kwong3,kwong1,獷kwong3,kang3,,
獸,säu3,säu1,獸säu3,ciu4,,
獺,cat3,cæk2,獺cat3,cat5,,
獻,hin3,hing1,獻hin3,hien4,,
玀,lo4,lo4,玀lo4,lo2,,
玁,him2,him2,玁him2,hiam3,,
玃,fok3,fok2,玃fok3,kiok5,,
玄,yün4,yüng4,玄yün4,hien2,,
玅,miu6,miu6,玅miu6,miau3,,
率,söt1,säk2,率söt1,sut5,,
率,löt6,läk6,率löt6,lut6,,
玈,lou4,lu4,玈lou4,lu2,,
玉,yuk6,yuk6,玉yuk6,ngiuk6,,
王,wong4,wong4,王wong4,vong2,,
玎,ding1,däng1,玎ding1,den1,,
玓,dik1,däk2,玓dik1,dit5,,
玔,cün3,cüng1,玔cün3,con4,,
玕,gon1,gwung1,玕gon1,gon1,,
玖,gäu2,gäu2,玖gäu2,giu3,,
玟,män4,mäng4,玟män4,min2,,
玠,gai3,gai1,玠gai3,gai4,,
玦,küt3,kük2,玦küt3,giet5,,
玩,wan4,wæng4,玩wan4,ngan2,,~耍
玩,wun6,wung6,玩wun6,ngan4,,遊~
玫,mui4,mui4,玫mui4,moi2,,
玲,ling4,läng4,玲ling4,lin2,,
玳,doi6,döi6,玳doi6,toi4,,
玷,dim3,dim1,玷dim3,diam4,,
玻,bo1,bo1,玻bo1,bo1,,
玼,ci2,ci2,玼ci2,cu3,,
珀,pak3,pæk2,珀pak3,pak5,,
珂,o1,o1,珂o1,ko1,,
珈,ga1,ga1,珈ga1,ga1,,
珊,san1,sæng1,珊san1,san1,,
珌,bit1,bik2,珌bit1,bit5,,
珍,zän1,zäng1,珍zän1,zin1,,
珓,gau3,gau1,珓gau3,gau4,,
珙,gung2,gung2,珙gung2,giung3,,
珞,lok6,lok6,珞lok6,lok6,,
珠,zü1,zü1,珠zü1,zu1,,
珣,sön4,säng4,珣sön4,sun2,,
珥,yi5,yi1,珥yi5,ngi3,,
珧,yiu4,yiu4,珧yiu4,yau2,,
珩,häng4,häng4,珩häng4,hang2,,
珪,gwäi1,gwäi1,珪gwäi1,gui1,,
班,ban1,bæng1,班ban1,ban1,,
珮,pui3,pui1,珮pui3,pui4,,
珵,cing4,cäng4,珵cing4,cin2,,
珶,däi6,däi6,珶däi6,ti4,,
珼,bui3,bui1,珼bui3,bui4,,
珽,ting5,täng1,珽ting5,tin3,,
現,yin6,ying6,現yin6,hien4,,
琀,ham4,ham4,琀ham4,ham2,,
球,käu4,käu4,球käu4,kiu2,,
琅,long4,long4,琅long4,long2,,
理,lei5,li1,理lei5,li1,,
琇,säu3,säu1,琇säu3,siu4,,
琉,läu4,läu4,琉läu4,liu2,,
琊,ye4,ye4,琊ye4,ya2,,
琖,zan2,zæng2,琖zan2,zan3,,
琚,göi1,gü1,琚göi1,gi1,,
琛,säm1,säm1,琛säm1,cim1,,
琠,din6,ding6,琠din6,tien4,,
琢,dök3,dök2,琢dök3,dok5,,
琥,fu2,fu2,琥fu2,fu3,,
琦,kei4,ki4,琦kei4,ki2,,
琨,kwän1,kwäng1,琨kwän1,kun1,,
琪,kei4,ki4,琪kei4,ki2,,
琫,bung2,bung2,琫bung2,bung3,,
琬,yün2,yüng2,琬yün2,van3,,
琮,cung1,cung1,琮cung1,cung1,,
琯,gwun2,gwung2,琯gwun2,gon3,,
琰,yim5,yim1,琰yim5,yam3,,
琱,diu1,diu1,琱diu1,diau1,,
琲,bui6,bui6,琲bui6,pui4,,
琳,läm4,läm4,琳läm4,lim2,,
琴,käm4,käm4,琴käm4,kim2,,
琵,pei4,pi4,琵pei4,pi2,,
琶,pa4,pa4,琶pa4,pa2,,
琺,fat3,fæk2,琺fat3,fap5,,
琿,wän4,wäng4,琿wän4,fun2,,
瑀,yü5,yü1,瑀yü5,yi3,,
瑁,mou6,mäu6,瑁mou6,mau4,,
瑄,sün1,süng1,瑄sün1,sien1,,
瑑,sün6,süng6,瑑sün6,con4,,
瑕,ha4,ha4,瑕ha4,ha2,,
瑗,wun6,wung6,瑗wun6,yen4,,
瑙,nou5,näu1,瑙nou5,lau3,,
瑚,wu4,wu4,瑚wu4,fu2,,
瑛,ying1,yäng1,瑛ying1,yin1,,
瑜,yü4,yü4,瑜yü4,yi2,,
瑞,söi6,söi6,瑞söi6,sui4,,
瑟,sät1,säk2,瑟sät1,set5,,
瑢,yung4,yung4,瑢yung4,yung2,,
瑣,so2,so2,瑣so2,so3,,
瑤,yiu4,yiu4,瑤yiu4,yau2,,
瑩,ying4,yäng4,瑩ying4,yin2,,
瑪,ma5,ma1,瑪ma5,ma1,,
瑯,long4,long4,瑯long4,long2,,
瑰,gwäi1,gwäi1,瑰gwäi1,gui1,,~奇
瑰,gwäi3,gwäi1,瑰gwäi3,gui4,,玫~
瑱,din6,ding6,瑱din6,tien4,,
瑲,cong1,cong1,瑲cong1,cong1,,
瑳,co4,co4,瑳co4,co2,,
瑹,sü1,sü1,瑹sü1,su1,,
瑽,cung4,cung4,瑽cung4,cung2,,
瑾,gän2,gäng2,瑾gän2,giun3,,
瑿,yi1,yi1,瑿yi1,yi1,,
璀,cöi2,cöi2,璀cöi2,cui3,,
璁,cung1,cung1,璁cung1,cung1,,
璃,lei4,li4,璃lei4,li2,,
璅,zau2,zau2,璅zau2,zau3,,
璆,käu4,käu4,璆käu4,kiu2,,
璇,sün4,süng4,璇sün4,sien2,,
璈,ngou4,ngäu4,璈ngou4,ngau2,,
璉,lin5,ling1,璉lin5,lien3,,
璊,mun4,mung4,璊mun4,mun2,,
璋,zöng1,zöng1,璋zöng1,zong1,,
璐,lou6,lu6,璐lou6,lu4,,
璗,dong6,dong6,璗dong6,tong4,,
璘,lön4,läng4,璘lön4,lin2,,
璜,wong4,wong4 ,璜wong4,vong2,,
璞,pok3,pok2,璞pok3,pok5,,
璟,ging2,gäng2,璟ging2,gin3,,
璠,fan1,fæng1,璠fan1,fan1,,
璡,zön3,zäng1,璡zön3,zin4,,
璣,gei1,gi1,璣gei1,gi1,,
璥,ging2,gäng2,璥ging2,gin3,,
璦,oi3,wui1,璦oi3,oi4,,
璧,bik1,bäk2,璧bik1,biak5,,
璨,can3,cæng1,璨can3,can4,,
璩,köi4,kü4,璩köi4,ki2,,
璪,cou3,cäu1,璪cou3,cau4,,
璫,dong1,dong1,璫dong1,dong1,,
環,wan4,wæng4,環wan4,van2,,
璱,sät1,säk2,璱sät1,sit5,,
璲,söi6,söi6,璲söi6,sui4,,
璵,yi4,yi4,璵yi4,yi2,,
璺,män6,mäng6,璺män6,mun4,,
璽,sai2,sai2,璽sai2,sai3,,
璿,sün4,süng4,璿sün4,sien2,,
瓀,yün5,yüng1,瓀yün5,ngion3,,
瓅,lik1,läk2,瓅lik1,lit6,,
瓊,king4,käng4,瓊king4,kiun2,,
瓏,lung4,lung4,瓏lung4,lung2,,
瓔,ying1,yäng1,瓔ying1,yin1,,
瓖,söng1,söng1,瓖söng1,siong1,,
瓘,gwun3,gwung1,瓘gwun3,gon4,,
瓚,zan3,zæng1,瓚zan3,zan4,,
瓛,wun4,wung4,瓛wun4,fon2,,
瓜,gwa1,gwa1,瓜gwa1,ga1,,
瓞,dit6,dik6,瓞dit6,diet5,,
瓟,pau4,pau4,瓟pau4,pau2,,
瓠,wu4,wu4,瓠wu4,pu2,,~蘆
瓠,wu6,wu6,瓠wu6,pu2,,~子
瓢,piu4,piu4,瓢piu4,piau4,,
瓣,fan6,fæng6,瓣fan6,pan4,,
瓤,nong4,nong4,瓤nong4,long2,,
瓦,nga5,nga1,瓦nga5,nga3,,
瓮,ung3,ung1,瓮ung3,vung4,,
瓴,ling4,läng4,瓴ling4,lin2,,
瓶,ping4,päng4,瓶ping4,pin2,,
瓷,ci4,ci4,瓷ci4,cu2,,
瓻,hei1,hi1,瓻hei1,hi1,,
瓽,dong3,dong1,瓽dong3,dong4,,
瓿,päu2,päu2,瓿päu2,piu3,,
甃,zäu3,zäu1,甃zäu3,ziu4,,
甄,yän1,yäng1,甄yän1,zin1,,
甈,hei3,hi1,甈hei3,hi4,,
甋,dik1,däk2,甋dik1,dit5,,
甌,äu1,äu1,甌äu1,iu1,,
甍,mäng4,mäng4,甍mäng4,men2,,
甏,bang6,bæng6,甏bang6,pang4,,
甑,zäng3,zäng1,甑zäng3,zen4,,
甒,mou5,mu1,甒mou5,vu3,,
甓,pik1,päk2,甓pik1,pit5,,
甔,dam1,dam1,甔dam1,dam1,,
甕,ung3,ung1,甕ung3,vung4,,
甗,hin3,hing1,甗hin3,hien4,,
甘,gäm1,gäm1,甘gäm1,gam1,,
甚,säm6,säm6,甚säm6,sim3,,
甜,tim4,tim4,甜tim4,tiam2,,
生,sang1,sæng1,生sang1,sang1,,"學~, ~日"
生,säng1,säng1,生säng1,sang1,,~命
甡,sin1,sing1,甡sin1,sin1,,
產,can2,cæng2,產can2,san3,,
甥,säng1,säng1,甥säng1,sang1,,
甦,sou1,su1,甦sou1,su1,,
用,yung6,yung6,用yung6,yung4,,
甩,lät1,läk2,甩lät1,lot5,,
甫,fu2,fu2,甫fu2,pu3,,驚魂~定
甫,pou2,pu2,甫pou2,pu3,,~里
甬,yung2,yung2,甬yung2,yung3,,
甭,bung2,bung2,甭bung2,bung3,,
甯,ning4,näng4,甯ning4,len2,,
田,tin4,ting4,田tin4,tien2,,
由,yäu4,yäu4,由yäu4,yiu2,,
甲,gap3,gap2,甲gap3,gap5,,
申,sän1,säng1,申sän1,sin1,,
男,nam4,nam4,男nam4,lam2,,
甸,din6,ding6,甸din6,tien4,,
町,ting5,täng1,町ting5,tin3,,
甾,zi1,zi1,甾zi1,zu1,,(=淄)
甾,zi1,zi1,甾zi1,zu1,,(化學品名)
甿,mong4,mong4,甿mong4,men2,,
畇,wän4,wäng4,畇wän4,yun2,,
畈,fan3,fæng1,畈fan3,fan4,,
畋,tin4,ting4,畋tin4,tien2,,
界,gai3,gai1,界gai3,gai4,,
畎,hün2,hüng2,畎hün2,kien3,,
畏,wäi3,wäi1,畏wäi3,vui4,,
畔,bun3,bung1,畔bun3,ban3,,
留,läu4,läu4,留läu4,liu2,,
畚,bän3,bäng1,畚bän3,bun4,,
畜,cuk1,cuk2,畜cuk1,hiuk5,,~養
畜,cuk1,cuk2,畜cuk1,kiuk5,,~生
畝,mäu5,mäu1,畝mäu5,miu1,,
畟,zik1,zäk2,畟zik1,zit5,,
畢,bät1,bäk2,畢bät1,bit5,,
畤,zi6,zi6,畤zi6,su4,,
略,lök6,lök6,略lök6,liok6,,
畦,kwäi4,kwäi4,畦kwäi4,gui1,,
番,fan1,fæng1,番fan1,fan1,,~茄
番,pun1,pung1,番pun1,pan1,,~禺
畫,wa2,wa6,畫wa2,fa4,,~家
畫,wa6,wa6,畫wa6,fa4,,~眉
畫,wak6,wæk6,畫wak6,vak6,,~符
畬,ce4,ce4,畬ce4,cia2,,
畯,zön3,zäng1,畯zön3,zun4,,
異,yi6,yi6,異yi6,yi4,,
當,dong1,dong1,當dong1,dong1,,"~家, 相~"
當,dong3,dong1,當dong3,dong4,,"~舖, 妥~"
畷,züt3,zük2,畷züt3,dot5,,
畸,kei1,ki1,畸kei1,ki1,,
畹,wun2,wung2,畹wun2,van3,,
畽,tün2,tüng2,畽tün2,ton3,,
畾,löi4,löi4,畾löi4,lui2,,
畿,gei1,gi1,畿gei1,gi1,,
疄,lön4,läng4,疄lön4,lin2,,
疆,göng1,göng1,疆göng1,giong1,,
疇,cäu4,cäu4,疇cäu4,ciu2,,
疊,dip6,dip6,疊dip6,tiap6,,
疋,pät1,päk2,疋pät1,pit5,,
疏,so1,so1,疏so1,so1,,~漏
疏,so3,so1,疏so3,so4,,註~
疐,zi3,zi1,疐zi3,zi4,,
疑,yi4,yi4,疑yi4,ngi2,,
疔,ding1,däng1,疔ding1,dang1,,
疘,gung1,gung1,疘gung1,gung1,,
疙,ngät6,ngäk6,疙ngät6,ngiet5,,
疚,gäu3,gäu1,疚gäu3,giu4,,
疝,san3,sæng1,疝san3,san4,,
疢,cän3,cäng1,疢cän3,zin3,,
疣,yäu4,yäu4,疣yäu4,yiu2,,
疤,ba1,ba1,疤ba1,ba1,,
疥,gai3,gai1,疥gai3,gai4,,
疫,yik6,yäk6 ,疫yik6,yit6,,
疲,pei4,pi4,疲pei4,pi2,,
疳,gäm1,gäm1,疳gäm1,gam1,,
疵,ci1,ci1,疵ci1,cu1,,
疶,sit3,sik2,疶sit3,siet5,,
疹,cän2,cäng2,疹cän2,zin3,,
疺,fät6,fæk6,疺fät6,fat6,,
疻,zi2,zi2,疻zi2,zi3,,
疼,täng3,täng1,疼täng3,ten2,,
疽,zöi1,zöi1,疽zöi1,zu1,,
疾,zät6,zäk6,疾zät6,cit6,,
疿,fäi3,fäi1,疿fäi3,fui4,,
痀,göi1,gü1,痀göi1,gi1,,
痂,ga1,ga1,痂ga1,ga1,,
痄,za3,za1,痄za3,za4,,
病,beng6,beng6,病beng6,piang4,,
症,zing3,zäng1,症zing3,zin4,,
痊,cün4,cüng4,痊cün4,cien2,,
痌,tung4,tung4,痌tung4,tung2,,
痍,yi4,yi4,痍yi4,yi2,,
痎,gai1,gai1,痎gai1,gai1,,
痏,wäi6,wäi6,痏wäi6,vui3,,
痐,wui4,wui4,痐wui4,fui2,,
痑,tan2,tæng2,痑tan2,tan3,,
痒,yöng4,yöng4,痒yöng4,yong2,,(=病)
痒,yöng5,yöng1,痒yöng5,yong1,,(=癢)
痔,zi6,zi6,痔zi6,ci4,,
痕,hän4,häng4,痕hän4,hen2,,
痗,mui5,mui1,痗mui5,mui3,,
痘,däu6,däu6,痘däu6,tiu4,,
痙,ging3,gäng1,痙ging3,gin4,,
痚,hiu1,hiu1,痚hiu1,hiau1,,
痛,tung3,tung1,痛tung3,tung4,,
痞,pei2,pi2,痞pei2,pi3,,
痟,siu1,siu1,痟siu1,siau1,,
痠,sün1,süng1,痠sün1,son1,,
痡,pou4,pu4 ,痡pou4,pu2,,
痢,lei6,li6,痢lei6,li4,,
痣,zi3,zi1,痣zi3,zi4,,
痧,sa1,sa1,痧sa1,sa1,,
痯,gwun2,gwung2,痯gwun2,gon3,,
痰,tam4,tam4,痰tam4,tam2,,
痱,fäi3,fäi1,痱fäi3,fui1,,
痲,ma4,ma4,痲ma4,ma2,,
痳,läm4,läm4,痳läm4,lim2,,
痴,ci1,ci1,痴ci1,ci1,,
痵,gwäi3,gwäi1,痵gwäi3,gui4,,
痹,bei3,bi1,痹bei3,bi4,,
痺,bei1,bi1,痺bei1,bi1,,
痼,gwu3,gwu1,痼gwu3,gu4,,
痾,o1,o1,痾o1,o1,,
痿,wäi2,wäi2,痿wäi2,vui3,,
瘀,yü1,yü1,瘀yü1,yi3,,
瘁,söi6,söi6,瘁söi6,cui4,,
瘈,käi3,käi1,瘈käi3,ke4,,
瘈,zäi3,zäi1,瘈zäi3,ze4,,
瘉,yü6,yü6,瘉yü6,yi4,,
瘊,häu4,häu4,瘊häu4,hiu2,,
瘋,fung1,fung1,瘋fung1,fung1,,
瘌,lat3,læk2,瘌lat3,lat6,,
瘍,yöng4,yöng4,瘍yöng4,yong2,,
瘏,tou4,tu4,瘏tou4,tu2,,
瘓,wun6,wung6,瘓wun6,fon4,,
瘕,ha4,ha4,瘕ha4,ha2,,
瘖,yäm1,yäm1,瘖yäm1,yim1,,
瘙,sou3,säu1,瘙sou3,sau4,,
瘚,küt3,kük2,瘚küt3,ket5,,
瘜,sik1,säk2,瘜sik1,sit5,,
瘝,gwan1,gwæng1,瘝gwan1,gan1,,
瘞,yi3,yi1,瘞yi3,yi4,,
瘟,wän1,wäng1,瘟wän1,vun1,,
瘠,zek3,zek2,瘠zek3,zit5,,
瘡,cong1,cong1,瘡cong1,cong1,,
瘢,bun1,bung1,瘢bun1,ban1,,
瘣,wai6,wai6,瘣wai6,fui4,,
瘤,läu4,läu4,瘤läu4,liu2,,
瘥,cai3,cai1,瘥cai3,cai4,,(病愈)
瘥,co4,co4,瘥co4,co2,,(疫病)
瘦,säu3,säu1,瘦säu3,siu4,,
瘧,yök6,yök6,瘧yök6,ngiok5,,
瘨,din1,ding1,瘨din1,dien1,,
瘩,dap3,dap2,瘩dap3,dap5,,
瘰,lo5,lo1,瘰lo5,lo3,,
瘲,zung2,zung2,瘲zung2,zung3,,
瘳,cäu1,cäu1,瘳cäu1,ciu1,,
瘴,zöng3,zöng1,瘴zöng3,zong4,,
瘵,zai3,zai1,瘵zai3,zai4,,
瘸,ke4,kö4,瘸ke4,kio2,,
瘺,läu6,läu6,瘺läu6,liu4,,
瘼,mok6,mok6,瘼mok6,mok6,,
療,liu4,liu4 ,療liu4,liau2,,
癃,lung4,lung4,癃lung4,lung2,,
癆,lou4,läu4,癆lou4,lau2,,
癈,fäi3,fäi1,癈fäi3,fui4,,
癉,tan2,tæng2 ,癉tan2,tan3,,
癌,ngam4,ngam4,癌ngam4,ngam2,,
癐,gwui6,gwui6,癐gwui6,kioi4,,
癖,pik1,päk2,癖pik1,pit5,,
癗,löi5,löi1,癗löi5,lui3,,
