Index,Word,Glossary,EnglishGlossary,Type,Character,IPA,Rom,1st check,Remark
712_Hakka_1,712,衣服,Clothes,Hakka_1,衫褲,sam13fu53,sam1 fu4 ,OK,
713_Hakka_1,713,買布,Buythecloth,Hakka_1,剪布,tsiɛn31pu53,zien3 bu4 ,OK,
714_Hakka_1,714,黑布,Black cloth,Hakka_1,烏布,vu13pu53,vu1 bu4 ,OK,
715_Hakka_1,715,剪(布),Cut(thecloth),Hakka_1,剪,tsiɛn31,zien3 ,OK,
716_Hakka_1,716,試(衣服),Tryon(theclothes),Hakka_1,試,tsʰi53,ci4 ,OK,
717_Hakka_1,717,上衣,Coat,Hakka_1,面衫,miɛn53sam13,mien4 sam1 ,OK,
718_Hakka_1,718,襯衫,Shirt,Hakka_1,恤衫,sut53sam13,sut6 sam1 ,OK,
719_Hakka_1,719,汗衫(貼身衣),Underwear,Hakka_1,底衫,tai31sam13,dai3 sam1 ,OK,
720_Hakka_1,720,棉襖,Waddedcottonjacket,Hakka_1,襖婆,au31pʰɔ11,au3 po2 ,OK,
721_Hakka_1,721,夾襖,Linedjacket,Hakka_1,背搭,pɔi53>55tap31,boi4 dap5 ,OK,
722_Hakka_1,722,大衣(棉衣，較長),Overvoat,Hakka_1,大褸,tʰai53lɛu13,tai4 leu1 ,OK,
723_Hakka_1,723,毛衣,Sweater,Hakka_1,冷衫,laŋ13sam13,lang1 sam1 ,OK,
724_Hakka_1,724,(被子)面子,Quiltcover,Hakka_1,面,miɛn53,mien4 ,OK,
725_Hakka_1,725,(被子)裏子,Quiltinner,Hakka_1,被肉,pʰi13>35ȵiuk31,pi1 ngiuk5 ,OK,
726_Hakka_1,726,背心,Jacket,Hakka_1,背心,pɔi53sim13,boi4 sim1 ,OK,
727_Hakka_1,727,褲子,Trousers,Hakka_1,褲,fu53,fu4 ,OK,
728_Hakka_1,728,短褲,Pants,Hakka_1,短褲,tɔn31fu53,don3 fu4 ,OK,
729_Hakka_1,729,褲腿,Trouserslegs,Hakka_1,褲腳,fu53>55kiɔk31,fu4 giok5 ,OK,
730_Hakka_1,730,褲襠(褲子襠部),Crotchoftrousers,Hakka_1,褲襠,fu53lɔŋ53,fu4 long4 ,OK,
731_Hakka_1,731,開襠褲,Trouserswithoutcrotch(forbaby),Hakka_1,開襠褲,hɔi13lɔŋ53fu53,hoi1 long4 fu4 ,OK,
732_Hakka_1,732,滿襠褲,Trouserswithcrotch,Hakka_1,密襠褲,mit53lɔŋ53fu53,mit6 long4 fu4 ,OK,
733_Hakka_1,733,裙子,Skirt,Hakka_1,裙,kʰiun11,kiun2 ,OK,
734_Hakka_1,734,袖子,Sleeve,Hakka_1,衫袖,sam13tsʰiu53,sam1 ciu4 ,OK,
735_Hakka_1,735,領子,Collar,Hakka_1,衫領,sam13liaŋ13,sam1 liang1 ,OK,
736_Hakka_1,736,(衣服)皺(了),Crease,Hakka_1,縐,tsiu53,ziu4 ,OK,
737_Hakka_1,737,(衣服)破(了),Ragged,Hakka_1,爛,lan53,lan4 ,OK,
738_Hakka_1,738,(衣服)口袋,Pocket,Hakka_1,衫袋,sam13tʰɔi53,sam1 toi4 ,OK,
739_Hakka_1,739,子母扣,apress-stud,Hakka_1,啪扭,pak53lɛu31,bak6 leu3 ,OK,
740_Hakka_1,740,紐扣,Button,Hakka_1,紐仔,lɛu31tsai31,leu3 zai3 ,OK,
741_Hakka_1,741,別針,Brooch,Hakka_1,結針,kiɛt31tsim13,giet5 zim1 ,OK,
742_Hakka_1,742,帽子,Hat,Hakka_1,帽仔,mau53>55tsai31,mau4 zai3 ,OK,
743_Hakka_1,743,草帽,Straw hat,Hakka_1,草帽,tsʰau31mau53,cau3 mau4 ,OK,
